product_type,product_package_name_ar,product_package_name_en,product_duration,product_package_descr_ar,product_package_descr_en,product_package_validity,value_proposition_ar,value_proposition_en,frequency,label_ar,label_en,product_quantity,roles,price,discounted_price,cat_arabic_name,cat_english_name,product_package_id,product_package_offer_id
featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",42,39.9,سيارات للبيع,Cars for Sale,788,5593
featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,الأكثر مبيعا,Best Selling,1,"{public,single}",33,31.35,قوارب,Boats,1263,5556
featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",15,14.25,أكسسوارات للمركبات,All Vehicles Accessories,788,5589
featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",22,17.6,المعدات الرياضة,Sports & Equipment,788,5691
featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,الأكثر مبيعا,Best Selling,1,"{public,single}",21,18.9,الكترونيات وأجهزة منزلية,Electronics & Home Appliances,788,5624
featured_ad,إعلان صالح لمدة ١٤ يوم و يتجدد لاول ٧ يوم,"Place 1 Ad for 14 days, Bump up for the first 7 days","14 days, 0:00:00",إعلان صالح لمدة ١٤ يوم و يتجدد لاول ٧ يوم,"Place 1 Ad for 14 days, Bump up for the first 7 days",30 days,"","",,"","",1,"{public,single}",40,37,غرف للإيجار,Rooms for Rent,1274,5816
featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",35,,أراضي للإيجار,Lands for Rent,788,5849
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00",,,1,"{public,single}",38,,عقارات تجارية للبيع,Commercials For Sale,870,4104
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00",,,1,"{public,single}",38,,شقق وفلل للبيع,Apartments & Villas For Sale,870,641
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,"","",1,"{public,single}",15,13.5,كاميرات وتصوير,Cameras,1256,5403
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",23,21.85,دراجات نارية ورباعية,Motorcycles & ATVs,870,5542
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",15,,مواهب، موسيقى وفنون وكتب,"Hobbies, Music, Art & Books",870,5635
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,الأكثر مبيعا,Best Selling,1,"{public,single}",5,4.5,أجهزة منزلية أخرى,Other Home Appliances,1256,5410
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,"","",1,"{public,single}",21,,عقارات تجارية للإيجار,Commercials For Rent,1256,5831
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,"","",1,"{public,single}",21,,أراضي للإيجار,Lands for Rent,1256,5837
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,"","",1,"{public,single}",12,10.8,أجهزة تكييف وتدفئة,"AC, Cooling & Heating",1256,5402
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",9,5.4,ملابس للنساء,Clothing for Women,870,5478
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",38,36.1,أرقام لوحات,Number Plates,870,5543
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,"","",1,"{public,single}",18,,شقق وفلل للإيجار,Apartments & Villas For Rent,1256,5794
ad_limit_bump,٣ إعلانات صالحة لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"3 - Place 1 Ad for 30 days, Featured for the first 14 days",29 days,٣ إعلانات صالحة لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"3 - Place 1 Ad for 30 days, Featured for the first 14 days",30 days,٣ إعلانات صالحة لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"3 - Place 1 Ad for 30 days, Featured for the first 14 days",,"","",3,"{public,multiple}",0,,شقق وفلل للبيع,Apartments & Villas For Sale,1352,4955
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",26,,عقارات تجارية للإيجار,Commercials For Rent,870,5838
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوعين,Bump up daily for 2 weeks,"14 days, 0:00:00",سيتم رفع إعلانك كل يوم لمدة أسبوعين إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of two weeks.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",26,,أراضي للإيجار,Lands for Rent,870,5855
auto_refresh_ad,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,7 days,جدد اعلانك مرتين يومياً لمدة 7 أيام,Bump up 2 times per day for 7 days,30 days,"","",12:00:00,"","",1,"{public,single}",32,,عقارات تجارية للبيع,Commercials For Sale,1256,4504
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",2,1.8,قطع الكمبيوتر وأجهزة إتصالات,Computer Parts & IT Accessories,872,5418
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",2,1.8,أجهزة صوتية، سماعات ومكبرات صوت,Home Audio & Speakers,872,5420
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",15,12,تجارة وصناعة,Business & Industrial,872,5617
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",6,5.4,موبايلات واكسسواراتها,Mobile Phones & Accessories,872,5663
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00",الأكثر مبيعا,Best Selling,1,"{public,single}",5,4.5,كاميرات وتصوير,Cameras,872,5416
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00",الأكثر مبيعا,Best Selling,1,"{public,single}",5,4.5,لابتوب، تابلت و كمبيوتر,"Laptops, Tablets, Computers",872,5422
ad_limit_bump,Elite Online,Elite Online,"7 days, 0:00:00","","",30 days,"","",,"","",1,"{public,single}",0,,سيارات للبيع,Cars for Sale,1342,4889
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",4,3.6,أدوات وأجهزة المطبخ,Kitchen Equipment & Appliances,872,5421
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",3,2.7,أجهزة ألعاب الفيديو والإكسسوارات,Gaming Consoles & Accessories,872,5419
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",5,3.4,وظائف شاغرة,Jobs Available,872,5510
ad_limit_bump,٣ اعلانات صالحة لمدة شهر,List 3 Ads - Valid for 1 Month,"7 days, 0:00:00",٣ اعلانات صالحة لمدة شهر,List 3 Ads - Valid for 1 Month,30 days,"","",,"","",3,"{public,multiple}",0,,سيارات للبيع,Cars for Sale,1351,4954
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",2,1.8,أجهزة تنضيف,Cleaning Appliances,872,5417
ad_limit_bump,٣ - إعلانات صالحة لمدة ١٤ يوم و يتجدد لاول ٧ يوم,"3 - Place 1 Ad for 14 days, Bump up for the first 7 days","7 days, 0:00:00",٣ - إعلانات صالحة لمدة ١٤ يوم و يتجدد لاول ٧ يوم,"3 - Place 1 Ad for 14 days, Bump up for the first 7 days",30 days,٣ - إعلانات صالحة لمدة ١٤ يوم و يتجدد لاول ٧ يوم,"3 - Place 1 Ad for 14 days, Bump up for the first 7 days",,"","",3,"{public,multiple}",0,,سيارات للبيع,Cars for Sale,1354,4959
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",8,6.4,المعدات الرياضة,Sports & Equipment,872,5688
auto_refresh_ad,جدد اعلانك تلقائياً لمدة 3 أيام,Bump up daily for 3 days,"3 days, 0:00:00",كل يوم لمدة ٣ أيام، سيتم رفع إعلانك إلى أعلى الصفحة الأولى,Your Ad will be promoted to the top of the first page every day for the duration of three days.,30 days,"","","1 day, 0:00:00",الأكثر مبيعا,Best Selling,1,"{public,single}",3,1.74,مستلزمات أطفال,Kids & Babies,872,5653
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",10,6,مجوهرات و فوبجو,Jewelry & Faux-Bijoux,871,5490
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",13,,شاليهات وكبائن للإيجار,Chalets & Cabins For Rent,871,5823
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",8,7.2,كاميرات وتصوير,Cameras,871,5428
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00",الأكثر مبيعا,Best Selling,1,"{public,single}",5,3,اكسسوارات للرجال,Accessories for Men,871,5486
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00",الأكثر مبيعا,Best Selling,1,"{public,single}",13,,غرف للإيجار,Rooms for Rent,871,5826
ad_limit_bump,أعلان صالح امدة 30 يوم، ايليت لمدة 7 ايام,Place 1 Ad (30 Days) + Elite (7 Days),"1 day, 0:00:00",أعلان صالح امدة 30 يوم، ايليت لمدة 7 ايام,Place 1 Ad (30 Days) + Elite (7 Days),30 days,"","",,"","",1,"{public,single}",1,,سيارات للبيع,Cars for Sale,1328,4786
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",3,2.7,أجهزة منزلية أخرى,Other Home Appliances,871,5435
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",5,3,ملابس للنساء,Clothing for Women,871,5489
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",26,24.7,سيارات للبيع,Cars for Sale,871,5599
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",6,5.4,أدوات وأجهزة المطبخ,Kitchen Equipment & Appliances,871,5433
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",6,5.4,تلفزيونات و فيديو,TV & Video,871,5436
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",5,3,حقائب السفر,Luggage,871,5491
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",10,6,ساعات,Watches,871,5493
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00","","",1,"{public,single}",8,7.68,الأثاث والديكور المنزلي,Home Furniture & Decor,871,5646
auto_refresh_ad,جدد اعلانك يومياً لمدة أسبوع,Bump up daily for 7 days,"7 days, 0:00:00",سيظهر إعلانك على الصفحة الأولى مرة كل يوم طول فترة الخدمة,Your Ad will be promoted to the top of the first page every day for the duration of seven days.,30 days,"","","1 day, 0:00:00",الأكثر مبيعا,Best Selling,1,"{public,single}",6,5.4,غسالات و نشافات,Washing Machines & Dryers,871,5438
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",8,7.6,قوارب,Boats,786,5582
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",11,10.56,الأثاث والديكور المنزلي,Home Furniture & Decor,786,5649
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",10,8,المعدات الرياضة,Sports & Equipment,786,5692
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",15,,أراضي للإيجار,Lands for Rent,786,5835
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",5,4.75,أكسسوارات للمركبات,All Vehicles Accessories,786,5580
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",11,,سيارات للإيجار,Cars for Rent,786,5717
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,,,1,"{public,single}",20,,شقق وفلل للبيع,Apartments & Villas For Sale,786,669
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",10,9,الكترونيات وأجهزة منزلية,Electronics & Home Appliances,786,5625
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",4,2.4,الموضة والجمال,Fashion & Beauty,786,5632
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",9,5.4,ساعات,Watches,786,5508
featured_ad,إعلان صالح لمدة ٢١ يوم و يتجدد لاول ٧ يوم,"Place 1 Ad for 21 days, Bump up for the first 7 days","3 days, 0:00:00",إعلان صالح لمدة ٢١ يوم و يتجدد لاول ٧ يوم,"Place 1 Ad for 21 days, Bump up for the first 7 days",30 days,"","",,"","",1,"{public,single}",4,2.72,الباحثين عن عمل,Job Seekers,1350,5519
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,الأكثر مبيعا,Best Selling,1,"{public,single}",9,5.4,مجوهرات و فوبجو,Jewelry & Faux-Bijoux,786,5507
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,"","",1,"{public,single}",9,7.65,حيوانات أليفة,Pets,786,5674
featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,"","",,,,1,"{public,single}",20,,ابنية ووحدات متعددة,Buildings & Multiple Units,786,4108
